Connecting to host speedtest.serverius.net, port 5002
[  4] local 2806:2f0:9801:b2b6:d4e1:4ac9:15a3:233a port 43388 connected to 2a00:1ca8:33::2 port 5002
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  45.25-45.50  sec   755 KBytes  24.7 Mbits/sec    0    654 KBytes       
[  4]  45.50-45.75  sec   943 KBytes  30.9 Mbits/sec    0    654 KBytes       
[  4]  45.75-46.00  sec  0.00 Bytes  0.00 bits/sec   42    454 KBytes       
[  4]  46.00-46.25  sec  1.23 MBytes  41.2 Mbits/sec    0    457 KBytes       
[  4]  46.25-46.50  sec   818 KBytes  26.8 Mbits/sec    0    474 KBytes       
[  4]  46.50-46.75  sec   629 KBytes  20.6 Mbits/sec    0    492 KBytes       
[  4]  46.75-47.00  sec   566 KBytes  18.6 Mbits/sec    0    509 KBytes       
[  4]  47.00-47.25  sec   818 KBytes  26.8 Mbits/sec    0    526 KBytes       
[  4]  47.25-47.50  sec   692 KBytes  22.7 Mbits/sec    0    540 KBytes       
[  4]  47.50-47.75  sec   692 KBytes  22.7 Mbits/sec    0    554 KBytes       
[  4]  47.75-48.00  sec   880 KBytes  28.8 Mbits/sec    0    567 KBytes       
[  4]  48.00-48.25  sec   692 KBytes  22.7 Mbits/sec    0    578 KBytes       
[  4]  48.25-48.50  sec   755 KBytes  24.7 Mbits/sec    0    588 KBytes       
[  4]  48.50-48.75  sec   818 KBytes  26.8 Mbits/sec    0    599 KBytes       
[  4]  48.75-49.00  sec   880 KBytes  28.9 Mbits/sec    0    607 KBytes       
[  4]  49.00-49.25  sec   818 KBytes  26.8 Mbits/sec    0    614 KBytes       
[  4]  49.25-49.50  sec   880 KBytes  28.8 Mbits/sec    0    622 KBytes       
[  4]  49.50-49.75  sec   818 KBytes  26.8 Mbits/sec    0    628 KBytes       
[  4]  49.75-50.00  sec   880 KBytes  28.9 Mbits/sec    0    633 KBytes       
